"bloc_r4a";"annee_univ_source";"formation";"type_formation";"specialite";"niveau";"semestre";"composante_parcours";"unite_enseignement";"ordre";"matiere_ar";"matiere_fr_source";"cm";"td";"tp";"mode_pedagogique";"modalite";"coefficient";"credits";"source_document";"page_source";"statut_source";"statut_2025_2026";"statut_2026_2027";"variante_reperee";"observation";"decision_r4a6_2026_2027";"statut_preparation_reelle"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S2";"";"أساسية";"3";"الأحكام القضائية الجزائية وطرق الطعن";"";"3h00";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S2";"";"منهجية";"4";"أخلاقيات البحث العلمي";"";"1h30";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S2";"";"استكشافية";"5";"علم العقاب";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S2";"";"استكشافية";"6";"قانون حماية الطفل";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S2";"";"أفقية";"7";"المؤسسات الناشئة المرنة";"";"1h30";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S2";"";"أفقية";"8";"لغة أجنبية (الإنجليزية) 2";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M1";"S2";"";"أفقية";"9";"الذكاء الاصطناعي";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"5";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M2";"S3";"";"أساسية";"1";"الجزاء الجنائي";"";"3h00";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M2";"S3";"";"أساسية";"2";"المسؤولية الجزائية";"";"3h00";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M2";"S3";"";"أساسية";"3";"القانون الجنائي والتكنولوجيا الحديثة";"";"3h00";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"Intitulé retenu selon la page officielle ; une extraction antérieure abrégait parfois l'intitulé en « القانون الجنائي والتكنولوجيا ».";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M2";"S3";"";"منهجية";"4";"منهجية إعداد مذكرة";"";"1h30";"1h30";"";"CM + TD";"";"";"";"قانون جنائي.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M2";"S3";"";"استكشافية";"5";"القضاء العسكري";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M2";"S3";"";"استكشافية";"6";"تنفيذ الأحكام الجزائية";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M2";"S3";"";"أفقية";"7";"لغة أجنبية (الإنجليزية) 3";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M2";"S3";"";"أفقية";"8";"البرمجيات الحرة والمصادر المفتوحة";"";"1h30";"";"";"CM";"";"";"";"قانون جنائي.pdf";"6";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M2";"S4";"";"تخرج";"1";"ملتقى";"";"";"";"";"Séminaire";"";"";"";"قانون جنائي.pdf";"7";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"Le tableau officiel indique 1h30. Ne pas assimiler automatiquement à un CM/TD sans règle métier.";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
"R4A5C";"2026-2027";"Master académique";"";"Droit pénal et Sciences criminelles";"M2";"S4";"";"تخرج";"2";"مذكرة نهاية الدراسة";"";"";"";"";"Mémoire";"";"";"";"قانون جنائي.pdf";"7";"Validée — source officielle 2026-2027";"";"Validée — source officielle 2026-2027";"";"Le tableau officiel indique 48h30 dans la colonne de volume ; il s'agit d'un élément de fin d'études, pas d'une séance ordinaire.";"SOURCE OFFICIELLE 2026-2027 — prête pour validation humaine";"VALIDE_2026_2027_SOURCE_OFFICIELLE"
